Crime ID,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b4adcc899360d595450a35cbe4d7d71d295bafefef98b2e764ff3bb8b90fafd0,City of London Police,City of London Police,,,No location,,,Suspect charged
64b14e3efdf9e12425e3ac19f5e72b6d19b5656523d91bc6b888654f1df18495,City of London Police,City of London Police,-0.088843,51.509532,On or near Parking Area,E01032739,City of London 001F,Investigation complete; no suspect identified
d9909143deda1db75d8ba35b701f31b268d9273764ad427b0cfa9dc95a4366dc,City of London Police,City of London Police,-0.084701,51.50932,On or near LOWER THAMES STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
bd44c99de1bdc727abc7c682bf3916969a3bc673e9309318c5338f4edccd50a6,City of London Police,City of London Police,-0.07908,51.519615,On or near BISHOPSGATE,E01004307,Tower Hamlets 015B,Formal action is not in the public interest
f8e3fc7e63baa91ddd6625dd1f4f48203f565fd021d9d426c09e1a8984aec412,City of London Police,City of London Police,-0.104281,51.516032,On or near BEAR ALLEY,E01032740,City of London 001G,Investigation complete; no suspect identified
0bca94e0f7c12d09f829c03317f6d6dd971f159cd6fe1f6fc5dd37e392026d5c,City of London Police,City of London Police,-0.077777,51.518046,On or near SANDY'S ROW,E01032739,City of London 001F,Investigation complete; no suspect identified
2e4253886e78f9d9860c091c3ca7796d32ea4ed89df9fe9e24355eb7fd7e5568,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
d40cd4a922d545e85c6d8db2c99f68f215b07b10c381426944105eb9e24fe0e3,City of London Police,City of London Police,-0.086416,51.516191,On or near THROGMORTON AVENUE,E01032739,City of London 001F,Investigation complete; no suspect identified
6ca37182ff61ecbc9064e59a32b3023e3f5e9b92c8674290d0bcd2f30dd339eb,City of London Police,City of London Police,-0.096814,51.512952,On or near ST PAUL'S CHURCH YARD,E01032739,City of London 001F,Investigation complete; no suspect identified
60d2ba959c0339ec5e3803cdf7903991d2bdcff83ea1f023be741a3547647f61,City of London Police,City of London Police,-0.085149,51.517196,On or near BLOMFIELD STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
71d36bf94b07b4c1477eea4dcc7ece28cd9757d02c577409c5c2e447efcf79ef,City of London Police,City of London Police,-0.077655,51.514088,On or near Pedestrian Subway,E01032739,City of London 001F,Investigation complete; no suspect identified
5669438d4e203474755a5fa53ce93bf0ea764dec9964c1f4e92acb0559f30765,City of London Police,City of London Police,-0.083972,51.510549,On or near LOVAT LANE,E01032739,City of London 001F,Unable to prosecute suspect
965af31750cb19ad39bcc5c86be1a835b7b9781482c6e84a62d8bdd4b3fd109d,City of London Police,City of London Police,-0.107148,51.511879,On or near TALLIS STREET,E01032740,City of London 001G,Investigation complete; no suspect identified
9428405fb4e463939e4d69a7a4ca9a726421c4baa54c304241eb6ffb1bee8f8a,City of London Police,City of London Police,-0.104494,51.509848,On or near A201,E01032739,City of London 001F,Investigation complete; no suspect identified
612bf70fade0fe7bc681a1c3a17695f518066d308bf8327bfc4f7b70b7b46fb6,City of London Police,City of London Police,-0.093933,51.519812,On or near Conference/Exhibition Centre,E01000002,City of London 001B,Investigation complete; no suspect identified
ed2bcc93f2d9918e1871ddfb70aa2c0c57d27c1010716426864a25e2a2d97b6a,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
c22950018c5e9a1661c89977b41a5102c114f9866fa9e07ceb7f9ca315751eee,City of London Police,City of London Police,-0.100974,51.51445,On or near AMEN CORNER,E01032739,City of London 001F,Offender given a caution
43eb10ba0ce43a4b705dd2560dec406d53d9be142a2b9c8e653467c290ad5423,City of London Police,City of London Police,-0.084566,51.51769,On or near BLOMFIELD STREET,E01032739,City of London 001F,Offender given a drugs possession warning
1052ac6ad77472415bac88cfc2135b57cbe64cadfa6daeea29db41ff0d5f9d5d,City of London Police,City of London Police,-0.084618,51.512682,On or near GRACECHURCH STREET,E01032739,City of London 001F,Offender given a caution
e03d3c47cef4ecda0db40bfe0784005b20d92c647e1286ffb0bb055dadc41e52,City of London Police,City of London Police,-0.099716,51.511435,On or near WHITE LION HILL,E01032739,City of London 001F,Suspect charged
a32ef07da84348f108b40084c17aa7bc7ebca710dc69e7635b6fc4b154d62bcc,City of London Police,City of London Police,,,No location,,,Suspect charged
7012c31208b2d1da7dbc344c19f370e6038320c83756c5f8a4d42e681a749da5,City of London Police,City of London Police,-0.089858,51.520744,On or near CHISWELL STREET,E01002704,Islington 023D,Suspect charged
a32ef07da84348f108b40084c17aa7bc7ebca710dc69e7635b6fc4b154d62bcc,City of London Police,City of London Police,,,No location,,,Suspect charged
2066830c59f46086118f146b1164069eaef067ed4e09084b39be429013d3e551,City of London Police,City of London Police,-0.08162,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Suspect charged
90f1a1a69cbcfae5297a544d15fa83b1966c09efb028f15ec13b1b992a84eed7,City of London Police,City of London Police,-0.091108,51.511529,On or near CLOAK LANE,E01032739,City of London 001F,Suspect charged
f617a43a4baf155b48c42ee1e35ae4c9a3745e5d709eecf62cbc6ecbc81e41a2,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Suspect charged
807c958b42cc703b509aa293953b0e8d89200982f6fd7a4260ff776a5b95ca5f,City of London Police,City of London Police,-0.097645,51.515142,On or near ST MARTIN'S LE GRAND,E01032739,City of London 001F,Investigation complete; no suspect identified
4c932f514594bf2dfab1440cfb2571063f157372241e45b36289bf1ecf4ff273,City of London Police,City of London Police,-0.096363,51.513377,On or near NEW CHANGE,E01032739,City of London 001F,Offender given a caution
ccb152dbcfc0610193dd05d3d4cf0bed8661ad4e894a14fa3496e2f7740b825e,City of London Police,City of London Police,-0.091151,51.516026,On or near BASINGHALL STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
4802bd3cdd4d991b5fd4132e1c720e683893f4175c77b77bfa9eebde9f58392b,City of London Police,City of London Police,-0.085355,51.510563,On or near PUDDING LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
0d0c5c5e1d2f8bf8f96a8fa70048c48f418f5d3e42b04c989e86d4f46b7712ab,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Investigation complete; no suspect identified
4dfd8c6fc4d1a2a77859e1c1e16a0390c376fe1892d678fcc838a0bdeb159657,City of London Police,City of London Police,-0.083645,51.512504,On or near LIME STREET PASSAGE,E01032739,City of London 001F,Investigation complete; no suspect identified
95243d5f40f62d16f7ffeaf73f7e79aa882987c85eacb6901ff315e6d957fc31,City of London Police,City of London Police,-0.08162,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Offender given a caution
65811fd40d4c4e3da418302015520310277776751c7b7f014860a5df6ebc351b,City of London Police,City of London Police,-0.094468,51.521853,On or near GOLDEN LANE,E01000003,City of London 001C,Investigation complete; no suspect identified
b24df6fef7acfdfdd2a09ab7d78e76566f8bfac83a3e515a8c3620f25e9b3166,City of London Police,City of London Police,-0.094464,51.512959,On or near WATLING COURT,E01032739,City of London 001F,Offender given a caution
a5a24c596f919856d641521d719fde208770dcf36f741d636864f64b1d1b91bb,City of London Police,City of London Police,-0.111974,51.513683,On or near FLEET STREET,E01004735,Westminster 018B,Investigation complete; no suspect identified
cf49f61e6586a0252de35d2f3f398c06270c0d14001bc1d2d8e3cccb836862b9,City of London Police,City of London Police,-0.093933,51.519812,On or near Conference/Exhibition Centre,E01000002,City of London 001B,Investigation complete; no suspect identified
974595253a43fceff4e44315086f4c243d43dcdfe57298081065f56395740775,City of London Police,City of London Police,-0.093257,51.51392,On or near BOW LANE,E01032739,City of London 001F,Suspect charged
7ba33d7f9d3e9184a931d613af38a6f789737e97eaff20346248ba8c86fcbbbc,City of London Police,City of London Police,-0.112939,51.518231,On or near SOUTHAMPTON BUILDINGS,E01032740,City of London 001G,Offender given a caution
e39800474d5fab2e694aaa6547e1fa1396bf1b8798432afac2e425785873dced,City of London Police,City of London Police,-0.096363,51.513377,On or near NEW CHANGE,E01032739,City of London 001F,Investigation complete; no suspect identified
82280256bcc056983e54b5478b18ae477e190109e56ea411aa8826ab035374a5,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Offender given a drugs possession warning
a32ef07da84348f108b40084c17aa7bc7ebca710dc69e7635b6fc4b154d62bcc,City of London Police,City of London Police,,,No location,,,Suspect charged
b489558e187ccb6e1b1d06e1bfba3a81f7afcf18432fb3eff6da487e7c4ef3c0,City of London Police,City of London Police,-0.077224,51.516122,On or near Shopping Area,E01000005,City of London 001E,Suspect charged
2ef21989ccb137206d2fd1af60233853af55d1e413c2731a14fbcd1eb4dd961d,City of London Police,City of London Police,-0.085355,51.510563,On or near PUDDING LANE,E01032739,City of London 001F,Offender given a drugs possession warning
0ba5a698a8c917235e6fedd3349932c5fae0e119c26fb4283831c3365ac51a49,City of London Police,City of London Police,-0.077451,51.515523,On or near WHITE KENNETT STREET,E01000005,City of London 001E,Offender given a drugs possession warning
70bdf1f03ac3ee415cc29d8f8ef446841c64eeac6277ccff81d43e90b2ae992b,City of London Police,City of London Police,-0.088621,51.518619,On or near MOORFIELDS,E01000002,City of London 001B,Investigation complete; no suspect identified
9f0a02ed8995bf760f39fb11e03e50adff34e578d7fc9521e028e3a83bed88ed,City of London Police,City of London Police,-0.086764,51.510307,On or near FISH STREET HILL,E01032739,City of London 001F,Investigation complete; no suspect identified
6b90cbb64409d78f120c16366a0ac98709fe39d1ba2c22ecb1aaa785b9695187,City of London Police,City of London Police,-0.084201,51.510949,On or near PHILPOT LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
10430f7d409be311e9d1959a0d8a7f176befa2c8ae93f28a2edd6ac9d9ea896c,City of London Police,City of London Police,-0.086416,51.516191,On or near THROGMORTON AVENUE,E01032739,City of London 001F,Investigation complete; no suspect identified
f9172f769165824bd4134901da45e29576a5530cbf6e6a97ddc7139ba0cf8b75,City of London Police,City of London Police,-0.094959,51.522868,On or near GOLDEN LANE,E01002706,Islington 023E,Offender given a caution
3caa2ff5bed6e54e55b8f975e578d8df4d2595b12385be73ccc46b2821e2066f,City of London Police,City of London Police,-0.087118,51.513199,On or near Nightclub,E01032739,City of London 001F,Investigation complete; no suspect identified
986ccdd50c7619824868f3e000bdf2c6a3977e0cbe89b979702568f2789d42cd,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Suspect charged
f9a27aa3270f6a24ec5b138b937837598f25f451c8639c1d0b806edc4c928234,City of London Police,City of London Police,-0.085355,51.510563,On or near PUDDING LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
ea4dcbc67bd08f1f9c5314ecea516a65a32282fb92d0986d7cfdfd1e3be70c38,City of London Police,City of London Police,-0.08767,51.516877,On or near COPTHALL AVENUE,E01032739,City of London 001F,Investigation complete; no suspect identified
d620b0b29a3cbbc52098469810da0ffecb673914283553744131882e4850ac3c,City of London Police,City of London Police,-0.091151,51.514992,On or near GRESHAM STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
53c1523e7e13e7d0494e384ba7622c1d15000f6e9cd10a4ef79ee222f543857e,City of London Police,City of London Police,-0.081091,51.516014,On or near CAMOMILE STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
528aacf4166eceb4aa75f440a966026f3862a571f1f2508d975a68bd700bfc7f,City of London Police,City of London Police,,,No location,,,Offender given a drugs possession warning
bbed0da00a81711427c076dfd7e0214ff313031ddf1cf7174a0d4f222c4d0537,City of London Police,City of London Police,-0.079011,51.509614,On or near Pedestrian Subway,E01032739,City of London 001F,Investigation complete; no suspect identified
c4f1b814e184eb73addd29511fb223d0620eaca5a0a91933a7f3aa441253a758,City of London Police,City of London Police,-0.093465,51.514463,On or near RUSSIA ROW,E01032739,City of London 001F,Suspect charged
