Order_ID,Order_Date,Delivery_Date,Order_Type,Product_ID,Product_Line,Product_Category,Quantity,Retail_Price,Cost_Price,Customer_Country,Customer_Continent,Customer_Age_Group
1244336610,31DEC2018,04JAN2019,3,230100500075,Outdoors,Outdoors,3,544.5,228.9,RU,Asia,31-45 years
1244336421,31DEC2018,04JAN2019,1,230100100062,Outdoors,Outdoors,2,283.4,122,NL,Europe,15-30 years
1244336321,31DEC2018,04JAN2019,2,220200100098,Clothes & Shoes,Shoes,2,241.4,133,NL,Europe,15-30 years
1244336156,31DEC2018,31DEC2018,1,240500100029,Sports,Running - Jogging,-1,117.8,52.2,IT,Europe,61-75 years
1244336082,31DEC2018,31DEC2018,1,220200100240,Clothes & Shoes,Shoes,2,80,40.2,IT,Europe,31-45 years
1244335617,31DEC2018,31DEC2018,1,210200600049,Children,Children Sports,2,37,16.5,IT,Europe,15-30 years
1244335593,31DEC2018,31DEC2018,1,220200100099,Clothes & Shoes,Shoes,2,315.6,158,IT,Europe,61-75 years
1244335565,31DEC2018,31DEC2018,99,220101400348,Clothes & Shoes,Clothes,2,23,7.5,IT,Europe,61-75 years
1244335244,31DEC2018,31DEC2018,99,240200100197,Sports,Golf,2,122,59.9,GB,Europe,46-60 years
1244334892,31DEC2018,31DEC2018,1,220200200041,Clothes & Shoes,Shoes,4,450.4,205.2,FR,Europe,31-45 years
1244334869,31DEC2018,31DEC2018,1,220100100264,Clothes & Shoes,Clothes,2,115.8,58.1,FR,Europe,31-45 years
1244334737,31DEC2018,31DEC2018,1,240800200002,Sports,Winter Sports,3,536.63,214.65,FR,Europe,46-60 years
1244334691,31DEC2018,01JAN2019,2,240100100003,Sports,Assorted Sports Articles,2,29.2,12.4,fr,Europe,61-75 years
1244334303,31DEC2018,05JAN2019,2,230100500081,Outdoors,Outdoors,1,73,30.35,ES,Europe,46-60 years
1244334226,31DEC2018,31DEC2018,1,220200100077,Clothes & Shoes,Shoes,2,198,99.2,ES,Europe,61-75 years
1244334182,31DEC2018,31DEC2018,1,210200700013,Children,Children Sports,4,40.4,14.4,ES,Europe,61-75 years
1244334141,31DEC2018,31DEC2018,1,240100200002,Sports,Assorted Sports Articles,2,30.8,12.2,ES,Europe,15-30 years
1244333847,31DEC2018,01JAN2019,3,240500200058,Sports,Running - Jogging,2,52.6,25.2,DK,Europe,15-30 years
1244333608,31DEC2018,31DEC2018,1,210200900040,Children,Children Sports,2,72.2,32.6,DE,Europe,15-30 years
1244333558,31DEC2018,05JAN2019,99,240400300017,Sports,Racket Sports,2,93,40.9,DE,Europe,46-60 years
1244333537,31DEC2018,31DEC2018,1,240500200044,Sports,Running - Jogging,2,119.8,49.9,DE,Europe,15-30 years
1244333347,31DEC2018,31DEC2018,1,240100100730,Sports,Assorted Sports Articles,2,363,155.7,be,Europe,46-60 years
1244333224,31DEC2018,31DEC2018,1,210200400008,Children,Children Sports,4,135.2,68,AU,Australia/Pacific,46-60 years
